ID,Title,Price,Brand,Model,Year of Manufacture,Used,Transmission,Color Family,Mileage (in km),Body Type,Version,Description,Poster,Poster Type,Fuel Type,Location.2,Date Posted,name,retail,Post Age
CAR014562,1988 Mercedes-Benz 260E 2.6 MT,220000,Mercedes-Benz,260E,1988,Yes,Manual,Blue,90000.0,Saloon / Sedan,2.6,"The 1988 Mercedes-Benz 260E with Manual transmission is for sale in Muntinlupa. This vehicle runs on Gasoline engine and is priced at 220000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Bobby Fernandez,Dealer,Gasoline,Muntinlupa,43643,Mercedes-Benz260E,0,35
CAR014563,1989 Mercedes-Benz 260E 2.6 AT,255000,Mercedes-Benz,260E,1989,Yes,Automatic,Red,1.0,Saloon / Sedan,2.6,"The 1989 Mercedes-Benz 260E with an Automatic transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 255000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Autofairway - Ric Pandanan,Dealer,Gasoline,Las Pinas,43616,Mercedes-Benz260E,0,62
CAR014564,1989 Toyota Corolla 1.3 MT,88000,Toyota,Corolla,1989,Yes,Manual,Silver / Grey,,Saloon / Sedan,1.3,"Toyota Corolla 1989 Manual Used for sale. The Toyota Corolla runs on Gasoline and has a promo price of PHP 88000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.",Automobili.co (SM Bicutan) - Warren Marmita,Dealer,Gasoline,Paranaque,43801,ToyotaCorolla,961000,170
CAR014565,1989 Toyota Crown 3.0 MT,195000,Toyota,Crown,1989,Yes,Manual,White,1.0,Saloon / Sedan,3,"The 1989 Toyota Crown with an Manual transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 195000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Gasoline,Mandaue,43616,ToyotaCrown,0,62
CAR014566,1989 Toyota LiteAce 1.5 MT,150000,Toyota,LiteAce,1989,Yes,Manual,,222222.0,Van / Minivan / Minibus,1.5,"Registered last May 2019 Engine - Newly replaced cylinder head gasket (Toyota brand) - Newly tune-up (replaced spark plug and condenser) - Newly change oil - Brake cleaning - Replace fuel filter - New belts for both air-con and alternator belt Body - Strip to metal work and repaint (inside and out) - Fixed all flooring and other tinsmith works - Painted dashboard support and brake booster - Replaced the whole dashboard - Replaced windshield (blue glass) - New wiper - Replaced driver and passenger windows - Replaced runner on both driver and passenger windows - Replaced both sliding windows - New mudguards - New spoiler - New back mirror - Newly detailed Upholstery and Sidings - Newly detailed seat and interiors - New carpet - New seat cover Audio - New Pioneer head unit (under warranty) - New two 14"" speakers Electrical - Re-wired all systems and consolidate in a single fuse box - New horn (Denso) - New headlight harness - New central lock and alarm - Installed central lock button - Installed 12V charger for dashcam Aircon - Expansion valve - New aircon condenser (under warranty) - Aircon cleaning with nitro flushing - New Freon Tires - All tires (90%) are bought in SNR with unlimited Nitro refill This has been used for shooting in an Indie film recently. PM me if you are interested. This is negotiable.

The 1989 Toyota LiteAce with an Manual transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 150000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

SAFETY REMINDERS:
NEVER SEND MONEY in any form (bank or wire transfer) for a vehicle you have not physically seen.
NEVER PROVIDE PERSONAL INFORMATION
VERIFY THE SELLER'S IDENTITY and VEHICLE INFORMATION
      Other tips:
Do not transact over e-mail
Schedule a mechanic visit : Click here
Check this link for more safety information: https://www.carmudi.com.ph/journal/car-buying-scams-5-ways-avoid-becoming-victim/ 
Disclaimer:

Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Andy Ildefonso,Individual,Gasoline,Philippines,43643,ToyotaLiteAce,129000,35
CAR014567,1990 Toyota Land Cruiser Prado 2.4 4x4 AT,570000,Toyota,Land Cruiser Prado,1990,Yes,Automatic,Silver / Grey,320200.0,SUV,2.4 4x4,"Toyota Land Cruiser Prado 1990 Automatic Used for sale. The Toyota Land Cruiser Prado runs on Diesel and has a promo price of PHP 570000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.",Invecs Auto Centrum,Dealer,Diesel,San Fernando,43802,ToyotaLandCruiserPrado,4474000,142
CAR014568,1991 Toyota Land Cruiser 4.5 4x4 AT,1100000,Toyota,Land Cruiser,1991,Yes,Automatic,Yellow,40000.0,SUV,4.5 4x4,"The 1991 Toyota Land Cruiser with Automatic transmission is for sale in Pampanga. This vehicle runs on Gasoline engine and is priced at 1100000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Invecs Auto Centrum,Dealer,Gasoline,San Fernando,43642,ToyotaLandCruiser,3273000,36
CAR014569,1992 Mazda B2200 2.2 4x2 MT,250000,Mazda,B2200,1992,Yes,Manual,White,1.0,Pickup / Truck,2.2 4x2,"The 1992 Mazda B2200 with an Manual transmission is for sale in Philippines. This vehicle runs on Diesel engine and is priced at 250000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Alba Auto Sales,Dealer,Diesel,Mandaue,43616,MazdaB2200,991800,62
CAR014570,1992 Mercedes-Benz Wagon 3.0 AT,450000,Mercedes-Benz,Wagon,1992,Yes,Automatic,Black,125000.0,Hatchback / Wagon,3,"The 1992 Mercedes-Benz Wagon with an Automatic transmission is for sale in Muntinlupa. This vehicle runs on 6-cylinder Gasoline engine and is priced at P450,000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

Disclaimer:
Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Bobby Fernandez,Dealer,Gasoline,Muntinlupa,43503,Mercedes-BenzWagon,0,30
CAR014571,1992 Mitsubishi Galant 2.0 MT,199000,Mitsubishi,Galant,1992,Yes,Manual,White,170000.0,Saloon / Sedan,2,"4g63 turbo engine from VR4. 

The 1992 Mitsubishi Galant with a Manual transmission is for sale in Philippines. This vehicle runs on Gasoline engine and is priced at 199000. You will be hard pressed to find better value for your money elsewhere. This is a bargain you cannot afford to miss, so get in touch today.

If you are interested to inquire on this listing just send a message using the contact seller form found on this page or call the seller directly. Please mention Carmudi when you contact the seller.

SAFETY REMINDERS:
NEVER SEND MONEY in any form (bank or wire transfer) for a vehicle you have not physically seen.
NEVER PROVIDE PERSONAL INFORMATION
VERIFY THE SELLER'S IDENTITY and VEHICLE INFORMATION
      Other tips:
Do not transact over e-mail
Schedule a mechanic visit : Click here
Check this link for more safety information: https://www.carmudi.com.ph/journal/car-buying-scams-5-ways-avoid-becoming-victim/ 
Disclaimer:

Vehicles in the listings are not owned by Carmudi.com.ph. Thus, all transactions done will be between the buyer and the third-party seller only.

Carmudi.com.ph either collects the images and vehicle specifications or uses the information given by its clients. Although considered accurate at the time of publication, take note that the information in the listings may change without prior notice, as Carmudi.com.ph regularly updates them.

We encourage you to report any inaccuracies by clicking the Report Listing button found on this page.",Chad Cruz,Individual,Gasoline,Philippines,43609,MitsubishiGalant,180000,69
